時間軸,コード,銘柄名,シグナル種別,シグナル名,継続,詳細
月足,4755,楽天グループ,売り,終値がSMA長期を下抜け,1,終値がSMA24を上から下へ突破
月足,4755,楽天グループ,売り,MACD デッドクロス,1,MACD線がシグナル線を下抜け — 下落モメンタム
月足,5016,ＪＸ金属,売り,騰落率オーバーシュート (上方),2,5日MA乖離率 +67.5% — 過熱感（反落注意）
月足,5401,日本製鉄,売り,終値がSMA短期を下抜け,1,終値がSMA6を上から下へ突破
月足,5803,フジクラ,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +32.6% — 過熱感（反落注意）
月足,6098,リクルートホールディングス,売り,パラボリックSAR 反転 (売り),1,SARが株価の上側に移動 — トレンド転換（売り）
月足,6140,旭ダイヤモンド工業,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +47.0% — 過熱感（反落注意）
月足,6501,日立製作所,売り,ボリンジャー上限反落,1,終値がBB+2σ以上から反落 — 買われすぎ反転
月足,6501,日立製作所,売り,リバーサル・デー（弱気）,1,前日の高安を包み込み陰線引け — 外側日反転
月足,6701,日本電気,売り,RSI 買われすぎ反転,1,RSI(14)が63.0へ下落（70以上から反転）
月足,6701,日本電気,売り,パラボリックSAR 反転 (売り),1,SARが株価の上側に移動 — トレンド転換（売り）
月足,6701,日本電気,売り,出来高急増（陰線）,1,出来高が20日平均の2.3倍（陰線）— 投げ売り
月足,6702,富士通,売り,終値がSMA短期を下抜け,1,終値がSMA6を上から下へ突破
月足,6702,富士通,売り,RSI 買われすぎ反転,1,RSI(14)が62.1へ下落（70以上から反転）
月足,6702,富士通,売り,パラボリックSAR 反転 (売り),1,SARが株価の上側に移動 — トレンド転換（売り）
月足,6740,ジャパンディスプレイ,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +20.4% — 過熱感（反落注意）
月足,6758,ソニーグループ,売り,終値がSMA長期を下抜け,1,終値がSMA24を上から下へ突破
月足,6758,ソニーグループ,売り,MACD デッドクロス,1,MACD線がシグナル線を下抜け — 下落モメンタム
月足,6758,ソニーグループ,売り,十字線（天井圏）,1,始値≒終値、長いヒゲ — upトレンドの転換を暗示
月足,6981,村田製作所,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +19.7% — 過熱感（反落注意）
月足,7011,三菱重工業,売り,騰落率オーバーシュート (上方),1,5日MA乖離率 +12.1% — 過熱感（反落注意）
