datetime,action,symbol,price,qty,order_type,obi,cvd,micro_price,pnl,status,detail
2026-02-20T13:16:15.541912+09:00,BUY_ENTRY,3103,1237.0,100,limit,0.4074,2981300,1236.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:16:15.919875+09:00,BUY_ENTRY,3103,1236.0,100,limit,0.4074,2982400,1236.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:16:16.804522+09:00,BUY_ENTRY,3103,1235.0,100,limit,0.6190,2983900,1234.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:16:17.177430+09:00,BUY_ENTRY,3103,1235.0,100,limit,0.6667,2986700,1234.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:17:04.619070+09:00,SELL_ENTRY,9501,696.8,100,limit,-0.7176,-703300,696.8,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N49999919""}"
2026-02-20T13:17:04.682882+09:00,CLOSE_SIGNAL,9501,696.7,100,limit,,,,10,FAIL,"{""Code"": 1009001, ""Message"": ""建玉が選択されていません。""}"
2026-02-20T13:17:25.342147+09:00,BUY_ENTRY,6378,1515.0,100,limit,0.8333,75800,1517.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:17:39.521542+09:00,BUY_ENTRY,3103,1243.0,100,limit,0.6250,2945400,1243.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:17:40.012932+09:00,BUY_ENTRY,3103,1243.0,100,limit,0.6250,2946400,1243.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:17:59.189525+09:00,BUY_ENTRY,268A,1789.0,100,limit,0.7143,30600,1789.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:03.629254+09:00,BUY_ENTRY,3103,1245.0,100,limit,0.6667,2859300,1245.7,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:05.830736+09:00,SELL_ENTRY,4755,828.4,100,limit,-0.5714,-770000,828.4,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:06.698148+09:00,SELL_ENTRY,4755,828.4,100,limit,-0.5714,-770800,828.4,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:07.544120+09:00,SELL_ENTRY,4755,828.4,100,limit,-0.7500,-772600,828.4,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:08.373691+09:00,SELL_ENTRY,4755,828.6,100,limit,-0.7500,-774400,828.4,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:18:09.179631+09:00,SELL_ENTRY,4755,828.6,100,limit,-0.7500,-776200,828.4,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:12.954106+09:00,BUY_ENTRY,3103,1246.0,100,limit,0.8462,2675500,1245.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:27.249468+09:00,BUY_ENTRY,4005,570.9,100,limit,0.7500,175600,570.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:31.711737+09:00,BUY_ENTRY,6378,1522.0,100,limit,0.8182,71900,1522.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:32.077468+09:00,BUY_ENTRY,6378,1522.0,100,limit,0.8182,73700,1522.9,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:34.057738+09:00,BUY_ENTRY,6378,1523.0,100,limit,0.8182,75500,1523.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:19:48.370935+09:00,BUY_ENTRY,4582,197.0,100,limit,0.9342,48107200,197.0,,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N50028097""}"
2026-02-20T13:20:30.581295+09:00,CLOSE_SIGNAL,4582,196.0,100,limit,,,,-100,OK,"{""Result"": 0, ""OrderId"": ""20260220A02N50028132""}"
2026-02-20T13:20:35.606780+09:00,BUY_ENTRY,6378,1528.0,100,limit,0.6000,107000,1527.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:20:35.957526+09:00,BUY_ENTRY,6378,1528.0,100,limit,0.6000,107300,1527.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
2026-02-20T13:20:36.312143+09:00,BUY_ENTRY,6378,1528.0,100,limit,0.6000,107600,1527.8,,FAIL,"{""Code"": 21, ""Message"": ""可能額が不足しております。ご注文内容をご確認ください""}"
